fog_index,rainfall_mm,signal_status,congestion_level,time_of_day,train_type,actual_delay_min
0.7737,2.41,0,0.2985,18,0,85
0.8655,28.14,1,0.8258,8,0,160
0.7394,19.57,2,0.7007,14,2,187
0.8009,39.85,2,0.007,15,0,161
0.049,39.2,2,0.1836,21,1,111
0.2345,18.78,1,0.7502,4,2,92
0.6219,31.14,2,0.4038,13,1,167
0.8581,11.38,0,0.0262,9,2,80
0.0045,29.02,2,0.9639,11,2,145
0.5146,4.06,1,0.1512,20,1,88
0.6773,21.73,1,0.5105,3,2,115
0.0296,9.14,0,0.2483,13,2,20
0.4014,44.17,1,0.7375,9,1,119
0.8956,22.25,0,0.7767,21,2,130
0.6716,29.54,2,0.3972,5,0,168
0.2377,18.02,0,0.6584,5,0,61
0.8528,14.44,1,0.9091,2,1,154
0.348,10.15,0,0.8148,10,1,83
0.8533,45.59,1,0.4149,0,1,134
0.2989,39.97,1,0.4415,12,2,99
0.5903,6.66,0,0.8869,5,1,94
0.3969,37.34,2,0.0344,9,2,134
0.2748,20.93,2,0.0228,14,2,99
0.8866,0.77,1,0.2058,16,0,112
0.1876,26.42,0,0.8276,1,1,85
0.0848,6.5,2,0.1532,3,0,107
0.3419,10.5,2,0.2853,7,1,130
0.7176,34.8,1,0.6291,12,1,128
0.8074,12.86,1,0.1842,21,0,106
0.9987,44.59,0,0.3031,3,0,116
0.2964,32.86,1,0.4669,1,1,94
0.4079,41.61,0,0.2281,15,0,63
0.1368,30.76,1,0.9924,23,0,102
0.5749,43.44,2,0.1634,19,1,149
0.9976,18.08,1,0.8499,13,2,169
0.7009,27.46,1,0.4701,0,1,125
0.5952,25.79,2,0.1291,13,2,147
0.3924,45.19,2,0.1185,10,0,137
0.9153,8.25,0,0.5003,10,2,110
0.4969,28.9,0,0.3535,11,1,74
0.1344,37.72,0,0.2346,13,2,45
0.3654,18.5,2,0.9589,17,0,166
0.0672,43.38,1,0.4634,4,1,84
0.202,18.65,2,0.9288,1,1,150
0.0177,8.67,1,0.164,1,2,38
0.4533,29.2,2,0.1835,9,2,154
0.6345,21.03,2,0.596,12,2,178
0.3433,0.76,0,0.2699,18,2,44
0.4204,3.49,2,0.1849,10,2,120
0.9592,9.76,2,0.0947,12,0,166
0.752,38.47,0,0.0763,23,0,93
0.5409,44.6,1,0.7532,17,2,139
0.2845,27.28,2,0.2822,16,1,135
0.897,5.28,2,0.9784,8,2,204
0.2351,26.72,1,0.1831,3,2,70
0.3253,42.78,1,0.3544,22,1,99
0.9091,37.47,0,0.3749,13,0,115
0.5295,14.55,1,0.5002,1,2,104
0.7423,6.19,1,0.8706,11,0,128
0.5907,45.03,1,0.8348,2,0,144
0.6534,42.7,0,0.01,23,0,87
0.2994,2.69,2,0.4093,12,0,122
0.2414,41.18,1,0.8279,18,1,103
0.3225,4.86,0,0.0002,11,2,35
0.1554,3.16,1,0.5336,0,2,69
0.8743,37.93,1,0.2595,15,1,124
0.2832,26.82,0,0.4128,15,0,62
0.5615,20.73,1,0.4203,5,1,106
0.792,45.19,2,0.3918,17,2,184
0.7838,41.97,2,0.892,5,0,213
0.4384,2.88,0,0.5365,16,0,74
0.4763,30.8,1,0.9037,17,0,135
0.9947,38.61,1,0.7267,3,2,165
0.6746,27.52,2,0.3511,7,0,162
0.8146,49.15,2,0.4936,3,2,194
0.9026,34.3,1,0.3899,17,0,133
0.7876,5.21,0,0.8286,5,1,117
0.1852,9.91,1,0.1876,15,2,57
0.5622,41.31,0,0.9364,10,0,123
0.1019,49.84,2,0.5804,1,0,138
0.6529,4.92,2,0.6118,21,2,167
0.9553,5.02,2,0.5168,17,2,177
0.5127,38.17,1,0.5545,6,2,113
0.433,3.22,2,0.6677,21,0,141
0.0358,3.43,1,0.655,17,2,66
0.9598,44.44,1,0.2141,19,0,148
0.103,40.02,2,0.5824,4,1,132
0.0411,44.08,0,0.3546,0,2,45
0.2461,32.53,2,0.637,1,2,153
0.0655,16.13,2,0.5478,12,0,112
0.4551,45.32,1,0.1797,18,1,95
0.5161,14.94,0,0.7347,21,0,81
0.3126,13.78,2,0.457,23,1,130
0.051,44.32,0,0.5514,14,2,66
0.1116,34.04,2,0.6726,15,0,147
0.3845,44.78,2,0.6529,6,0,162
0.0605,7.8,1,0.7489,0,0,86
0.6982,47.61,1,0.2068,4,0,112
0.207,30.64,0,0.1104,1,1,51
0.3021,33.4,1,0.6692,16,2,107
0.3941,45.7,0,0.236,12,0,75
0.4166,19.04,2,0.1146,18,1,133
0.0017,35.98,1,0.1312,3,2,52
0.1121,32.02,0,0.3128,21,1,39
0.8628,39.39,2,0.9918,17,0,212
0.0012,44.85,0,0.1573,21,0,38
0.5082,34.0,1,0.2985,15,0,102
0.4895,3.38,0,0.9207,8,0,93
0.3331,9.16,0,0.9633,15,0,91
0.4313,47.7,0,0.2288,14,1,74
0.7806,48.43,0,0.8805,4,1,135
0.8412,48.37,2,0.1389,2,2,179
0.2603,1.84,2,0.7615,15,2,140
0.3225,19.12,2,0.013,2,0,131
0.2425,37.98,2,0.4066,2,1,138
0.4799,37.64,1,0.2473,1,2,100
0.6833,4.3,1,0.704,14,0,128
0.2283,30.47,0,0.0161,22,2,46
0.3307,7.14,2,0.4649,11,0,146
0.9304,24.66,1,0.6967,3,1,152
0.0486,11.98,1,0.0467,12,2,42
0.4608,2.66,0,0.8974,11,1,83
0.7116,4.0,1,0.3612,14,1,108
0.1505,45.54,2,0.1653,10,1,127
0.0474,37.23,1,0.2255,12,1,64
0.1382,46.59,1,0.3389,7,2,85
0.9188,23.5,2,0.1984,21,2,166
0.0093,20.66,0,0.5106,12,0,45
0.1883,17.92,2,0.6329,7,1,133
0.0313,30.82,2,0.4334,0,2,105
0.1106,17.58,1,0.427,16,1,64
0.6201,37.31,2,0.7817,9,1,192
0.2416,40.07,0,0.301,5,2,64
0.5692,43.79,0,0.6228,11,2,111
0.5902,12.14,0,0.8929,11,0,109
0.8494,26.35,1,0.2215,19,2,127
0.0047,11.17,2,0.6199,13,2,122
0.8534,1.88,1,0.948,16,0,143
0.6191,35.39,2,0.5298,15,2,174
0.1627,27.45,0,0.9769,20,1,82
0.7729,36.2,2,0.31,0,0,186
0.8555,4.38,0,0.5643,9,1,105
0.2543,49.78,1,0.311,17,1,96
0.9188,49.72,2,0.0037,3,1,181
0.4545,23.25,2,0.9973,10,0,179
0.6034,43.3,2,0.2401,9,2,160
0.9846,12.18,1,0.9731,19,1,154
0.3615,36.88,1,0.653,23,0,109
0.8132,43.96,1,0.9039,2,1,167
0.3184,40.73,1,0.9672,5,1,124
0.7992,40.59,2,0.5678,18,0,191
0.6007,23.15,1,0.9997,4,2,142
0.2164,41.0,1,0.7673,11,1,102
0.414,34.54,1,0.5238,22,2,101
0.3176,6.62,0,0.6549,23,2,69
0.0781,5.71,0,0.1943,22,0,25
0.0298,38.6,1,0.011,3,0,47
0.3465,31.27,1,0.2568,3,2,88
0.019,25.97,1,0.435,4,1,67
0.1655,45.36,2,0.2281,18,0,123
0.7252,32.98,2,0.514,4,0,181
0.7081,19.81,2,0.6579,10,1,183
0.7386,20.7,1,0.6558,19,1,131
0.3172,30.26,2,0.8938,11,0,161
0.89,38.01,2,0.9663,22,0,217
0.5938,28.22,0,0.8907,11,1,109
0.126,25.44,1,0.6202,9,1,84
0.1437,36.35,1,0.2058,23,0,72
0.6931,35.26,2,0.9435,13,0,212
0.1729,41.52,1,0.1749,4,0,74
0.5073,3.13,0,0.1514,15,1,51
0.9918,37.75,0,0.3176,18,0,123
0.004,25.69,0,0.5736,20,0,49
0.0166,3.73,0,0.6815,0,2,47
0.9931,33.95,0,0.0133,2,2,100
0.5846,35.83,2,0.778,15,1,191
0.1269,26.18,1,0.175,17,0,72
0.8973,39.69,2,0.2965,15,2,186
0.8804,15.01,2,0.3221,9,2,173
0.5362,10.1,1,0.3324,18,2,93
0.6218,17.54,1,0.7604,13,0,124
0.2732,20.5,0,0.0409,22,1,36
0.0505,34.8,2,0.1965,8,2,116
0.5946,42.28,1,0.0223,18,0,89
0.2948,36.05,2,0.7783,3,0,157
0.6636,8.7,0,0.9837,17,0,119
0.8362,18.31,0,0.6595,17,1,115
0.0182,7.92,0,0.5901,6,1,32
0.5957,34.34,2,0.9081,1,0,200
0.2313,12.41,1,0.255,23,2,68
0.8739,26.27,0,0.0665,1,1,92
0.2537,39.59,0,0.51,11,0,73
0.6108,33.55,1,0.2603,0,2,106
0.5535,14.92,2,0.4511,10,2,145
0.3962,16.64,2,0.4563,19,0,147
0.6776,32.67,1,0.3188,12,2,128
0.7258,27.47,2,0.4863,5,0,180
0.5669,4.82,0,0.3802,9,2,76
0.7584,43.7,2,0.1131,2,1,167
0.9834,25.63,0,0.8667,14,0,141
0.4193,23.67,1,0.7013,0,0,111
0.5146,9.92,2,0.0413,8,2,136
0.0125,18.85,2,0.1158,1,1,100
0.796,16.64,0,0.0965,5,1,83
0.5202,13.54,1,0.0617,1,2,85
0.408,28.37,0,0.0591,22,1,59
0.0941,23.11,0,0.1571,18,0,33
0.8897,44.46,1,0.8479,22,2,167
0.395,47.07,1,0.8282,16,1,116
0.6826,10.97,0,0.7831,11,0,105
0.1494,5.01,2,0.6147,4,2,120
0.9615,39.27,1,0.7235,23,2,164
0.1784,49.74,1,0.7385,22,0,109
0.1995,43.18,1,0.8893,9,1,106
0.859,1.18,1,0.7323,5,2,131
0.9126,12.56,0,0.7365,9,2,118
0.2121,2.17,1,0.8041,9,0,87
0.4698,41.04,2,0.5564,22,2,164
0.7335,29.07,1,0.213,1,0,111
0.8784,25.69,1,0.0845,15,1,118
0.3791,27.72,2,0.419,18,1,142
0.517,12.62,1,0.0917,18,0,86
0.7417,30.08,0,0.1693,4,2,84
0.7311,1.53,0,0.0238,9,0,64
0.783,32.3,2,0.3002,8,2,175
0.5699,36.72,1,0.97,9,2,145
0.1046,33.65,1,0.3789,2,1,78
0.904,16.61,0,0.2409,1,1,108
0.8656,41.31,0,0.4034,0,0,120
0.7981,35.78,1,0.3013,23,2,126
0.0999,6.41,2,0.6739,10,2,130
0.2044,9.76,0,0.6345,5,1,54
0.7436,31.86,1,0.0273,19,0,104
0.0231,14.47,2,0.5113,11,1,118
0.9792,5.97,0,0.0362,8,2,81
0.3771,7.75,0,0.6774,2,2,77
0.7193,8.28,0,0.9358,9,0,111
0.8876,23.89,2,0.9075,15,2,213
0.3946,30.37,1,0.2057,14,0,89
0.3191,8.82,2,0.7426,9,1,149
0.6087,35.62,2,0.7931,14,1,181
0.581,14.05,1,0.8644,18,0,128
0.4091,15.58,0,0.2596,22,0,67
0.6018,11.17,0,0.4508,12,2,90
0.9354,39.26,1,0.2215,5,1,137
0.4676,47.99,1,0.0243,3,2,91
0.1967,24.62,0,0.659,3,1,67
0.3772,2.1,2,0.4315,0,1,128
0.3941,13.03,0,0.2481,13,0,52
0.1311,7.9,1,0.8471,5,1,82
0.1629,42.14,2,0.4957,5,2,134
0.6846,4.24,1,0.9947,17,0,130
0.3395,48.32,2,0.7934,7,1,177
0.9549,29.43,0,0.8692,19,1,136
0.2436,25.89,2,0.7733,3,2,149
0.0989,42.37,2,0.1059,8,0,108
0.7535,1.38,2,0.065,1,0,150
0.881,38.86,0,0.9151,12,0,142
0.2781,5.83,0,0.1382,2,0,36
0.2021,42.04,0,0.3912,5,2,68
0.1858,26.46,2,0.6099,17,0,131
0.522,3.06,0,0.2119,21,1,60
0.4684,41.66,1,0.2253,13,0,99
0.2594,1.37,1,0.4662,23,2,73
0.0452,6.92,2,0.3609,18,1,107
0.4815,39.89,2,0.6766,18,1,174
0.9593,23.24,0,0.0751,23,2,97
0.6525,44.07,2,0.4888,2,0,179
0.4955,31.77,0,0.1743,5,2,75
0.1107,31.18,0,0.6067,10,1,65
0.2524,14.61,0,0.1162,14,1,42
0.2948,6.68,1,0.1976,23,0,72
0.7648,48.06,1,0.8039,2,0,162
0.8767,5.24,2,0.2352,5,2,170
0.9016,26.45,2,0.7371,7,2,202
0.9846,13.63,1,0.2731,16,2,125
0.9824,13.21,1,0.235,22,0,133
0.953,29.73,0,0.2992,22,2,106
0.0718,39.9,2,0.8809,17,0,147
0.1378,38.86,1,0.3972,18,2,76
0.3045,43.44,2,0.2438,9,1,143
0.5529,14.65,1,0.5366,14,2,114
0.097,23.29,2,0.3856,4,0,118
0.8458,0.47,2,0.7902,12,2,178
0.6168,37.34,2,0.9904,7,1,183
0.5424,15.12,1,0.5266,22,1,106
0.1653,28.07,0,0.4517,8,1,53
0.2533,8.47,0,0.343,9,2,43
0.1603,40.97,1,0.9733,9,1,116
0.8519,40.86,2,0.4833,21,1,186
0.5842,43.87,2,0.178,22,1,160
0.7351,2.3,0,0.9692,10,0,108
0.296,49.62,1,0.9609,23,2,129
0.3713,12.39,2,0.4357,18,2,130
0.4049,15.47,0,0.3482,20,1,70
0.76,12.47,1,0.6804,21,2,137
0.7724,13.38,2,0.8289,7,0,191
0.2068,27.63,0,0.4985,13,0,61
0.9415,11.99,0,0.3308,6,2,110
0.1207,19.69,1,0.3014,7,2,66
0.8961,32.78,2,0.3266,11,2,190
0.1004,41.8,0,0.118,1,0,42
0.2645,34.64,2,0.7786,5,1,155
0.8465,29.72,0,0.105,19,2,97
0.1795,7.39,1,0.3983,3,0,76
0.4136,40.81,1,0.8349,14,2,126
0.4499,1.86,0,0.4041,18,2,53
0.2453,13.21,2,0.2948,6,0,124
0.7102,2.85,2,0.9483,10,1,186
0.8513,33.37,2,0.1265,21,2,174
0.8746,18.42,0,0.8849,20,2,131
0.3393,32.6,1,0.0621,22,2,78
0.5309,17.35,2,0.4135,15,2,156
0.2484,22.79,0,0.6317,21,2,66
0.2448,22.9,1,0.37,9,2,70
0.1613,2.28,1,0.5346,14,2,71
0.94,21.51,1,0.204,16,0,122
0.888,32.05,1,0.569,23,1,137
0.7774,27.3,2,0.1346,8,1,164
0.5177,3.76,0,0.7961,20,1,85
0.4906,33.4,2,0.5838,12,0,173
0.5297,15.44,2,0.4819,2,2,151
0.5366,0.72,0,0.0547,15,2,53
0.4346,7.78,2,0.4998,23,1,138
0.1318,24.88,0,0.5636,10,2,46
0.1257,15.52,0,0.2657,13,0,36
0.9522,34.72,1,0.6776,22,2,150
0.482,12.03,2,0.0768,22,0,136
0.9532,38.64,2,0.2087,9,2,189
0.1636,14.32,1,0.7375,18,1,93
0.5544,31.04,2,0.1472,15,1,151
0.2077,39.96,0,0.2455,15,2,48
0.2532,19.28,2,0.6509,17,0,142
0.0301,2.34,1,0.7288,7,2,70
0.119,26.77,0,0.0515,7,1,35
0.9168,49.77,0,0.1266,0,2,108
0.3215,48.45,0,0.4461,20,1,78
0.6081,11.05,0,0.5928,6,0,87
0.465,37.78,0,0.4538,16,1,89
0.4005,17.25,2,0.6471,16,1,144
0.5319,8.01,0,0.756,16,2,93
0.1872,33.3,1,0.9495,20,1,111
0.9886,25.04,2,0.3499,20,1,183
0.8183,26.96,0,0.1631,0,0,92
0.7416,41.37,2,0.2641,20,0,179
0.4688,16.83,1,0.1482,4,1,80
0.1529,33.35,0,0.3942,15,1,46
0.9207,18.31,2,0.8726,16,1,201
0.3414,2.14,1,0.3471,1,0,71
0.0501,18.9,1,0.1488,6,2,53
0.3424,47.5,2,0.5226,21,2,158
0.7945,24.16,2,0.9919,3,0,208
0.6227,5.41,2,0.1882,5,0,152
0.7508,34.39,2,0.7779,1,2,194
0.7936,48.17,0,0.8234,4,2,125
0.212,45.4,1,0.4013,15,2,96
0.9238,28.6,0,0.6196,20,1,120
0.438,18.81,2,0.4324,14,2,140
0.639,29.03,2,0.2623,6,2,157
0.0023,40.8,1,0.4261,20,0,73
0.9934,43.06,1,0.0953,8,1,131
0.2809,40.94,2,0.707,7,0,166
0.0621,22.77,0,0.8292,12,2,53
0.4583,5.94,1,0.3074,3,2,89
0.129,28.46,2,0.5665,8,0,132
0.1523,7.82,0,0.2321,19,0,35
0.6323,3.05,2,0.1275,14,0,142
0.3929,24.93,0,0.6636,23,0,81
0.9219,32.77,2,0.1341,18,0,178
0.3192,42.71,1,0.782,8,2,117
0.7262,39.14,2,0.2718,18,1,171
0.4611,42.86,2,0.8185,20,2,169
0.66,38.0,1,0.3685,15,1,124
0.5997,35.16,2,0.3688,18,2,168
0.4728,0.51,1,0.7506,12,2,103
0.9501,31.31,1,0.5103,21,0,150
0.3427,6.02,2,0.201,5,0,120
0.1772,2.93,0,0.8504,10,1,59
0.6781,7.82,1,0.3402,6,1,106
0.846,41.16,0,0.1028,2,2,98
0.0403,37.19,1,0.416,14,0,74
0.4496,47.44,2,0.574,2,0,163
0.8925,48.95,0,0.6099,5,1,133
0.7496,44.66,1,0.8356,18,0,150
0.9918,6.65,1,0.5414,5,2,135
0.5314,43.92,2,0.2237,20,0,157
0.66,41.93,0,0.2617,1,2,91
0.3025,43.55,0,0.1008,10,1,55
0.9475,7.58,0,0.7359,1,2,123
0.3663,5.84,1,0.1059,1,0,70
0.7385,46.19,1,0.6058,18,2,142
0.4031,8.69,2,0.5969,1,2,139
0.5618,18.43,1,0.7855,21,1,125
0.7198,22.8,0,0.0746,14,0,83
0.5089,6.22,2,0.2029,11,0,134
0.9071,1.03,0,0.9096,22,0,119
0.4193,49.7,1,0.5722,9,1,125
0.6471,43.83,1,0.4577,9,2,126
0.3424,45.62,0,0.7477,9,1,89
0.4082,14.23,1,0.9025,15,2,121
0.4401,11.01,1,0.263,20,2,84
0.1258,21.29,2,0.9015,13,2,142
0.0917,22.67,0,0.1087,6,2,31
0.6675,0.28,2,0.9777,21,2,185
0.6555,38.96,1,0.1649,14,2,121
0.6629,49.83,2,0.2662,19,0,175
0.0198,26.43,0,0.0966,10,1,31
0.3265,19.41,0,0.8037,4,1,85
0.1978,19.64,2,0.9842,22,2,148
0.7782,4.8,1,0.297,16,0,104
0.8606,13.31,0,0.3256,7,2,105
0.2467,25.11,2,0.279,20,1,127
0.6678,21.59,0,0.1548,0,2,71
0.1294,27.25,1,0.7874,22,2,89
0.2752,42.45,2,0.0607,13,1,121
0.1387,11.26,2,0.9678,14,2,142
0.2835,1.38,2,0.9273,0,0,146
0.6747,1.91,1,0.1184,4,0,91
0.9103,6.71,0,0.5295,17,1,118
0.2025,28.52,0,0.9929,13,1,85
0.5421,40.41,2,0.8526,3,0,189
0.7014,44.34,1,0.7151,15,2,144
0.9529,31.76,0,0.0225,17,0,104
0.6101,20.16,2,0.0684,6,1,146
0.2551,7.73,2,0.794,16,0,140
0.6255,20.07,0,0.3764,23,0,80
0.3205,16.62,2,0.6684,11,0,152
0.9761,43.5,1,0.7392,5,1,161
0.3997,24.34,1,0.4222,23,2,100
0.6854,11.31,2,0.1434,21,0,151
0.0232,14.44,0,0.3867,10,2,25
0.4001,6.82,0,0.871,10,1,86
0.8751,45.93,2,0.3311,20,2,190
0.6102,2.52,1,0.0626,0,1,80
0.4439,0.64,0,0.9591,7,1,94
0.9359,9.15,2,0.6807,13,1,197
0.854,40.54,0,0.5409,15,2,115
0.3222,26.17,2,0.8291,15,1,166
0.5445,31.29,0,0.4112,8,2,87
0.4898,17.89,1,0.9851,20,1,128
0.6322,3.43,1,0.8576,15,0,125
0.3341,42.81,2,0.2805,12,0,141
0.2442,9.59,1,0.371,22,1,73
0.9127,1.65,2,0.2757,2,0,166
0.9239,28.64,0,0.6593,17,0,127
0.8433,4.16,1,0.6393,22,1,128
0.9782,4.79,2,0.5225,15,0,186
0.745,40.02,0,0.9658,13,2,130
0.7647,24.58,2,0.4723,8,2,170
0.7626,12.08,2,0.7837,6,2,189
0.4806,17.43,2,0.6581,13,1,158
0.4565,36.46,0,0.5182,21,0,86
0.2402,3.32,2,0.0421,11,2,93
0.6448,5.82,2,0.6575,2,1,173
0.2893,30.81,0,0.6426,11,1,77
0.2578,30.35,1,0.1249,2,1,82
0.586,48.62,0,0.7959,22,0,118
0.41,18.73,1,0.467,12,1,97
0.2189,3.25,0,0.3241,5,1,41
0.8161,26.88,1,0.824,14,2,153
0.8606,31.92,1,0.3434,12,1,124
0.1677,6.98,1,0.6219,12,2,76
0.0075,27.64,2,0.6179,14,2,122
0.3361,9.89,2,0.0528,22,0,119
0.7975,42.24,0,0.4228,20,0,115
0.8392,41.76,0,0.2228,6,1,101
0.1383,21.48,0,0.1996,5,2,39
0.7743,48.34,2,0.655,23,1,196
0.1157,48.99,0,0.0114,15,0,42
0.3901,6.46,0,0.9691,0,1,89
0.9986,18.39,0,0.3954,12,2,121
0.1926,30.02,2,0.2988,2,0,127
0.154,4.24,1,0.92,0,1,97
0.4228,19.13,2,0.4867,4,1,152
0.6197,13.06,0,0.6143,6,1,89
0.9329,47.6,1,0.6959,1,0,168
0.9808,20.58,1,0.8714,20,2,166
0.0696,38.13,0,0.1297,10,2,42
0.138,19.34,2,0.0817,13,1,97
0.7907,6.59,2,0.9937,20,1,196
0.2706,43.16,0,0.0089,20,1,53
0.8848,0.02,2,0.7082,19,0,186
0.6635,2.8,1,0.6111,4,0,109
0.1118,18.22,1,0.5526,17,2,71
0.8325,34.34,2,0.7858,23,0,198
0.1764,17.09,1,0.9925,0,2,101
0.4235,3.32,0,0.0469,20,1,41
0.5522,15.89,2,0.6145,20,1,159
0.5008,12.25,2,0.7168,20,0,159
0.6862,0.27,0,0.3059,9,2,78
0.6527,26.74,2,0.8929,4,1,189
0.992,5.83,1,0.457,17,2,139
0.9994,14.37,0,0.1645,14,2,99
0.5165,32.06,1,0.8544,17,0,134
0.0952,36.26,2,0.9429,6,2,149
0.7278,13.17,0,0.0995,4,1,81
0.9767,16.46,2,0.7517,21,0,206
0.3183,12.35,2,0.215,12,1,123
0.4612,47.84,2,0.0067,20,1,137
0.4248,9.53,0,0.2606,22,1,56
0.0514,9.16,0,0.8549,11,0,60
0.6723,22.25,2,0.1412,6,2,155
0.3533,9.47,1,0.1307,21,0,66
0.7875,7.84,1,0.739,17,1,133
0.8321,4.79,1,0.4064,15,2,122
0.8212,32.01,1,0.1485,22,0,124
0.4167,30.6,1,0.23,5,1,89
0.3215,32.51,1,0.7946,8,1,107
0.7488,38.67,1,0.6233,0,2,137
0.8014,16.32,1,0.7609,9,2,133
0.4913,45.92,1,0.0978,10,2,98
0.893,36.66,2,0.4581,10,1,197
0.1439,40.24,1,0.7971,3,1,105
0.8791,36.05,2,0.2658,19,0,181
0.0961,17.92,1,0.1692,11,2,51
0.1535,14.15,2,0.3818,10,0,115
0.5338,21.13,1,0.3334,20,1,106
0.0675,4.85,1,0.1855,11,2,40
0.0528,22.56,0,0.9539,21,2,77
0.0005,2.16,0,0.4831,5,0,34
0.4363,0.2,2,0.6081,20,2,152
0.7746,46.57,0,0.1211,23,1,103
0.0348,34.47,0,0.61,18,1,58
0.6523,28.09,2,0.5553,21,0,177
0.8231,17.06,2,0.9319,17,2,199
0.168,28.53,1,0.4123,14,1,70
0.1469,44.58,1,0.7821,18,0,102
0.8608,32.62,1,0.3042,23,0,133
0.8231,30.12,2,0.5789,14,2,185
0.5389,23.01,1,0.927,16,0,134
0.8192,17.28,0,0.6251,1,1,105
0.0928,34.93,1,0.7112,23,2,85
0.3945,49.05,0,0.876,18,2,98
0.7378,21.24,2,0.9254,3,0,197
0.2575,19.61,0,0.2083,6,0,38
0.7523,21.41,1,0.1958,5,0,117
0.5042,21.28,0,0.5505,7,2,84
0.7503,49.53,2,0.9955,21,1,222
0.4647,35.34,1,0.4902,11,2,113
0.3679,17.96,0,0.3309,10,0,51
0.2192,18.58,2,0.5373,18,2,133
0.2084,21.54,1,0.0644,8,0,57
0.7515,1.84,1,0.1772,21,0,111
0.1189,26.39,0,0.1489,18,1,34
0.086,40.57,0,0.0279,6,1,29
0.1763,33.03,2,0.7222,15,1,138
0.1753,9.92,1,0.3255,11,0,66
0.8231,36.4,1,0.1685,8,1,121
0.3985,35.97,2,0.5122,21,1,162
0.9904,13.13,1,0.3234,9,2,129
0.1372,31.14,1,0.393,2,2,75
0.6535,30.55,2,0.3155,9,1,169
0.4487,41.99,0,0.004,12,2,60
0.3929,6.8,1,0.6883,3,1,94
0.8751,9.74,2,0.1107,17,1,161
0.9756,24.3,0,0.2191,5,2,98
0.8729,2.21,0,0.1903,2,1,94
0.1923,20.78,1,0.3314,12,1,77
0.2208,39.41,0,0.1602,3,1,47
0.6561,7.44,0,0.347,18,2,81
0.2891,23.0,0,0.2433,1,2,49
0.7347,49.49,2,0.0612,10,1,167
0.5664,25.3,0,0.8706,1,0,99
0.5509,24.92,2,0.3056,9,1,156
0.8285,27.94,1,0.0953,22,1,120
0.7105,9.3,2,0.5215,15,2,178
0.0266,7.36,0,0.1233,12,2,18
0.0495,33.87,2,0.7731,3,0,147
0.6016,19.79,1,0.0616,7,2,89
0.4862,14.5,2,0.4646,9,2,151
0.2602,1.57,2,0.9438,13,2,144
0.4187,42.3,1,0.159,4,1,97
0.7579,1.62,2,0.2014,23,0,150
0.8266,37.5,0,0.6005,15,1,117
0.5612,19.1,1,0.9799,7,2,130
0.3854,29.93,1,0.3858,2,1,96
0.2707,12.38,2,0.6486,14,2,141
0.5219,7.77,2,0.1523,10,0,130
0.3147,26.67,2,0.6414,16,2,141
0.5641,34.78,2,0.2527,14,0,157
0.6767,9.77,2,0.6133,15,2,176
0.0661,21.82,2,0.0887,20,2,100
0.0011,22.23,1,0.525,12,2,68
0.2123,10.8,0,0.2374,17,1,38
0.8945,28.25,2,0.6817,8,1,206
0.6463,7.3,0,0.7477,22,2,104
0.172,25.49,0,0.8481,9,0,76
0.8903,5.67,2,0.9924,16,0,201
0.47,24.28,0,0.4594,23,0,76
0.4761,15.58,0,0.6706,8,0,78
0.9355,22.61,1,0.0184,2,1,123
0.0595,21.69,1,0.9051,5,1,89
0.2152,45.4,0,0.6157,5,1,67
0.5858,24.5,1,0.4213,1,0,112
0.1955,40.92,0,0.4343,13,1,53
0.6795,11.28,0,0.758,6,1,102
0.2141,17.6,0,0.8335,2,0,71
0.0992,3.75,2,0.8079,3,2,124
0.207,21.04,1,0.5106,6,2,82
0.4227,33.43,2,0.3711,8,2,139
0.1761,41.91,0,0.9455,23,0,89
0.1347,28.3,2,0.6342,16,1,136
0.8603,32.0,2,0.5437,17,2,196
0.3204,8.86,1,0.5983,16,1,83
0.3608,1.86,2,0.6299,19,0,138
0.0553,39.58,1,0.7131,7,1,92
0.3574,8.35,1,0.5532,2,0,95
0.2648,4.56,2,0.8754,12,1,139
0.6105,46.88,1,0.8597,0,1,155
0.2054,48.18,1,0.4423,5,2,89
0.8884,30.81,2,0.1685,18,2,173
0.9297,18.93,1,0.5767,12,1,139
0.0998,41.66,0,0.6207,16,1,68
0.1074,10.24,2,0.5234,12,0,122
0.1153,21.47,2,0.8906,13,2,144
0.6196,17.85,0,0.093,7,0,64
0.122,45.63,2,0.2874,5,2,125
0.8524,45.99,0,0.8658,6,2,138
0.7543,32.54,0,0.9394,19,2,136
0.8198,5.54,2,0.4259,23,2,159
0.5261,24.11,1,0.1926,1,0,97
0.9967,12.27,1,0.4203,12,2,144
0.0442,44.25,1,0.4562,11,1,77
0.4013,6.92,0,0.5196,13,1,71
0.3239,2.72,2,0.2744,5,2,127
0.9486,35.22,0,0.3126,0,1,115
0.5769,22.66,2,0.6556,4,1,171
0.8062,41.92,2,0.6218,4,0,195
0.1703,3.73,0,0.6621,1,0,51
0.9786,40.05,1,0.3773,8,2,149
0.4986,1.87,0,0.3365,16,1,59
0.4937,1.4,1,0.3515,23,0,94
0.9709,23.07,1,0.9512,15,2,165
0.3807,11.06,0,0.3952,4,2,62
0.3975,29.69,2,0.6061,8,0,160
0.5848,1.29,2,0.5228,7,0,151
0.1281,1.77,0,0.8762,5,0,60
0.3211,36.36,2,0.3691,23,0,139
0.1932,10.51,2,0.4341,15,2,115
0.1033,32.82,1,0.8428,11,0,97
